alias_id	kind	canonical_id	reason	date
L40	lessons	L322	legacy id collided with different content	2026-09-14
L41	lessons	L323	legacy id collided with different content	2026-09-14
L42	lessons	L324	legacy id collided with different content	2026-09-14
L43	lessons	L325	legacy id collided with different content	2026-09-14
L44	lessons	L326	legacy id collided with different content	2026-09-14
L45	lessons	L327	legacy id collided with different content	2026-09-14
L46	lessons	L328	legacy id collided with different content	2026-09-14
L47	lessons	L329	legacy id collided with different content	2026-09-14
L48	lessons	L330	legacy id collided with different content	2026-09-14
L49	lessons	L331	legacy id collided with different content	2026-09-14
L50	lessons	L332	legacy id collided with different content	2026-09-14
L34	lessons	L333	legacy id collided with different content	2026-09-14
L35	lessons	L334	legacy id collided with different content	2026-09-14
L51	lessons	L335	legacy id collided with different content	2026-09-14
L36	lessons	L336	legacy id collided with different content	2026-09-14
L37	lessons	L337	legacy id collided with different content	2026-09-14
L51	lessons	L338	legacy id collided with different content	2026-09-14
L52	lessons	L339	legacy id collided with different content	2026-09-14
L52	lessons	L340	legacy id collided with different content	2026-09-14
L53	lessons	L341	legacy id collided with different content	2026-09-14
L54	lessons	L342	legacy id collided with different content	2026-09-14
L55	lessons	L343	legacy id collided with different content	2026-09-14
L56	lessons	L344	legacy id collided with different content	2026-09-14
L57	lessons	L345	legacy id collided with different content	2026-09-14
L58	lessons	L346	legacy id collided with different content	2026-09-14
L103	lessons	L347	legacy id collided with different content	2026-09-14
L104	lessons	L348	legacy id collided with different content	2026-09-14
L59	lessons	L349	legacy id collided with different content	2026-09-14
L60	lessons	L350	legacy id collided with different content	2026-09-14
L114	lessons	L351	legacy id collided with different content	2026-09-14
L115	lessons	L352	legacy id collided with different content	2026-09-14
L116	lessons	L353	legacy id collided with different content	2026-09-14
L61	lessons	L354	legacy id collided with different content	2026-09-14
L105	lessons	L355	legacy id collided with different content	2026-09-14
L53	lessons	L356	legacy id collided with different content	2026-09-14
L117	lessons	L357	legacy id collided with different content	2026-09-14
L118	lessons	L358	legacy id collided with different content	2026-09-14
L134	lessons	L359	legacy id collided with different content	2026-09-14
L135	lessons	L360	legacy id collided with different content	2026-09-14
L136	lessons	L361	legacy id collided with different content	2026-09-14
L137	lessons	L362	legacy id collided with different content	2026-09-14
L138	lessons	L363	legacy id collided with different content	2026-09-14
L139	lessons	L364	legacy id collided with different content	2026-09-14
L140	lessons	L365	legacy id collided with different content	2026-09-14
L141	lessons	L366	legacy id collided with different content	2026-09-14
L142	lessons	L367	legacy id collided with different content	2026-09-14
L148	lessons	L368	legacy id collided with different content	2026-09-14
L158	lessons	L369	legacy id collided with different content	2026-09-14
L159	lessons	L370	legacy id collided with different content	2026-09-14
L160	lessons	L371	legacy id collided with different content	2026-09-14
L161	lessons	L372	legacy id collided with different content	2026-09-14
L162	lessons	L373	legacy id collided with different content	2026-09-14
L163	lessons	L374	legacy id collided with different content	2026-09-14
L164	lessons	L375	legacy id collided with different content	2026-09-14
L165	lessons	L376	legacy id collided with different content	2026-09-14
L166	lessons	L377	legacy id collided with different content	2026-09-14
L167	lessons	L378	legacy id collided with different content	2026-09-14
L168	lessons	L379	legacy id collided with different content	2026-09-14
L169	lessons	L380	legacy id collided with different content	2026-09-14
L170	lessons	L381	legacy id collided with different content	2026-09-14
L146	lessons	L382	legacy id collided with different content	2026-09-14
L147	lessons	L383	legacy id collided with different content	2026-09-14
L148	lessons	L384	legacy id collided with different content	2026-09-14
L169	lessons	L385	legacy id collided with different content	2026-09-14
L170	lessons	L386	legacy id collided with different content	2026-09-14
L171	lessons	L387	legacy id collided with different content	2026-09-14
L172	lessons	L388	legacy id collided with different content	2026-09-14
L173	lessons	L389	legacy id collided with different content	2026-09-14
L174	lessons	L390	legacy id collided with different content	2026-09-14
L175	lessons	L391	legacy id collided with different content	2026-09-14
L176	lessons	L392	legacy id collided with different content	2026-09-14
L177	lessons	L393	legacy id collided with different content	2026-09-14
L150	lessons	L394	legacy id collided with different content	2026-09-14
L151	lessons	L395	legacy id collided with different content	2026-09-14
L152	lessons	L396	legacy id collided with different content	2026-09-14
L171	lessons	L397	legacy id collided with different content	2026-09-14
L172	lessons	L398	legacy id collided with different content	2026-09-14
L173	lessons	L399	legacy id collided with different content	2026-09-14
L174	lessons	L400	legacy id collided with different content	2026-09-14
L175	lessons	L401	legacy id collided with different content	2026-09-14
L176	lessons	L402	legacy id collided with different content	2026-09-14
L177	lessons	L403	legacy id collided with different content	2026-09-14
L190	lessons	L404	legacy id collided with different content	2026-09-14
L191	lessons	L405	legacy id collided with different content	2026-09-14
L192	lessons	L406	legacy id collided with different content	2026-09-14
L178	lessons	L407	legacy id collided with different content	2026-09-14
L179	lessons	L408	legacy id collided with different content	2026-09-14
L193	lessons	L409	legacy id collided with different content	2026-09-14
L194	lessons	L410	legacy id collided with different content	2026-09-14
L195	lessons	L411	legacy id collided with different content	2026-09-14
L196	lessons	L412	legacy id collided with different content	2026-09-14
L197	lessons	L413	legacy id collided with different content	2026-09-14
L198	lessons	L414	legacy id collided with different content	2026-09-14
L199	lessons	L415	legacy id collided with different content	2026-09-14
L160	lessons	L416	legacy id collided with different content	2026-09-14
L161	lessons	L417	legacy id collided with different content	2026-09-14
L162	lessons	L418	legacy id collided with different content	2026-09-14
L182	lessons	L419	legacy id collided with different content	2026-09-14
L183	lessons	L420	legacy id collided with different content	2026-09-14
L217	lessons	L421	legacy id collided with different content	2026-09-14
L218	lessons	L422	legacy id collided with different content	2026-09-14
L219	lessons	L423	legacy id collided with different content	2026-09-14
L220	lessons	L424	legacy id collided with different content	2026-09-14
L221	lessons	L425	legacy id collided with different content	2026-09-14
L39	lessons	L426	legacy id collided with different content	2026-09-14
L40	lessons	L427	legacy id collided with different content	2026-09-14
L41	lessons	L428	legacy id collided with different content	2026-09-14
L42	lessons	L429	legacy id collided with different content	2026-09-14
L43	lessons	L430	legacy id collided with different content	2026-09-14
L44	lessons	L431	legacy id collided with different content	2026-09-14
L45	lessons	L432	legacy id collided with different content	2026-09-14
L46	lessons	L433	legacy id collided with different content	2026-09-14
L47	lessons	L434	legacy id collided with different content	2026-09-14
L48	lessons	L435	legacy id collided with different content	2026-09-14
L49	lessons	L436	legacy id collided with different content	2026-09-14
L50	lessons	L437	legacy id collided with different content	2026-09-14
L34	lessons	L438	legacy id collided with different content	2026-09-14
L35	lessons	L439	legacy id collided with different content	2026-09-14
L51	lessons	L440	legacy id collided with different content	2026-09-14
L36	lessons	L441	legacy id collided with different content	2026-09-14
L37	lessons	L442	legacy id collided with different content	2026-09-14
L51	lessons	L443	legacy id collided with different content	2026-09-14
L52	lessons	L444	legacy id collided with different content	2026-09-14
L52	lessons	L445	legacy id collided with different content	2026-09-14
L53	lessons	L446	legacy id collided with different content	2026-09-14
L54	lessons	L447	legacy id collided with different content	2026-09-14
L55	lessons	L448	legacy id collided with different content	2026-09-14
L56	lessons	L449	legacy id collided with different content	2026-09-14
L57	lessons	L450	legacy id collided with different content	2026-09-14
L58	lessons	L451	legacy id collided with different content	2026-09-14
L103	lessons	L452	legacy id collided with different content	2026-09-14
L104	lessons	L453	legacy id collided with different content	2026-09-14
L59	lessons	L454	legacy id collided with different content	2026-09-14
L60	lessons	L455	legacy id collided with different content	2026-09-14
L114	lessons	L456	legacy id collided with different content	2026-09-14
L115	lessons	L457	legacy id collided with different content	2026-09-14
L116	lessons	L458	legacy id collided with different content	2026-09-14
L61	lessons	L459	legacy id collided with different content	2026-09-14
L105	lessons	L460	legacy id collided with different content	2026-09-14
L53	lessons	L461	legacy id collided with different content	2026-09-14
L117	lessons	L462	legacy id collided with different content	2026-09-14
L118	lessons	L463	legacy id collided with different content	2026-09-14
L134	lessons	L464	legacy id collided with different content	2026-09-14
L135	lessons	L465	legacy id collided with different content	2026-09-14
L136	lessons	L466	legacy id collided with different content	2026-09-14
L137	lessons	L467	legacy id collided with different content	2026-09-14
L138	lessons	L468	legacy id collided with different content	2026-09-14
L139	lessons	L469	legacy id collided with different content	2026-09-14
L140	lessons	L470	legacy id collided with different content	2026-09-14
L141	lessons	L471	legacy id collided with different content	2026-09-14
L142	lessons	L472	legacy id collided with different content	2026-09-14
L148	lessons	L473	legacy id collided with different content	2026-09-14
L158	lessons	L474	legacy id collided with different content	2026-09-14
L159	lessons	L475	legacy id collided with different content	2026-09-14
L160	lessons	L476	legacy id collided with different content	2026-09-14
L161	lessons	L477	legacy id collided with different content	2026-09-14
L162	lessons	L478	legacy id collided with different content	2026-09-14
L163	lessons	L479	legacy id collided with different content	2026-09-14
L164	lessons	L480	legacy id collided with different content	2026-09-14
L165	lessons	L481	legacy id collided with different content	2026-09-14
L166	lessons	L482	legacy id collided with different content	2026-09-14
L167	lessons	L483	legacy id collided with different content	2026-09-14
L168	lessons	L484	legacy id collided with different content	2026-09-14
L169	lessons	L485	legacy id collided with different content	2026-09-14
L170	lessons	L486	legacy id collided with different content	2026-09-14
L146	lessons	L487	legacy id collided with different content	2026-09-14
L147	lessons	L488	legacy id collided with different content	2026-09-14
L148	lessons	L489	legacy id collided with different content	2026-09-14
L169	lessons	L490	legacy id collided with different content	2026-09-14
L170	lessons	L491	legacy id collided with different content	2026-09-14
L171	lessons	L492	legacy id collided with different content	2026-09-14
L172	lessons	L493	legacy id collided with different content	2026-09-14
L173	lessons	L494	legacy id collided with different content	2026-09-14
L174	lessons	L495	legacy id collided with different content	2026-09-14
L175	lessons	L496	legacy id collided with different content	2026-09-14
L176	lessons	L497	legacy id collided with different content	2026-09-14
L177	lessons	L498	legacy id collided with different content	2026-09-14
L150	lessons	L499	legacy id collided with different content	2026-09-14
L151	lessons	L500	legacy id collided with different content	2026-09-14
L152	lessons	L501	legacy id collided with different content	2026-09-14
L171	lessons	L502	legacy id collided with different content	2026-09-14
L172	lessons	L503	legacy id collided with different content	2026-09-14
L173	lessons	L504	legacy id collided with different content	2026-09-14
L174	lessons	L505	legacy id collided with different content	2026-09-14
L175	lessons	L506	legacy id collided with different content	2026-09-14
L176	lessons	L507	legacy id collided with different content	2026-09-14
L177	lessons	L508	legacy id collided with different content	2026-09-14
L178	lessons	L509	legacy id collided with different content	2026-09-14
L39	lessons	L511	legacy id collided with different content	2026-09-14
L40	lessons	L512	legacy id collided with different content	2026-09-14
L41	lessons	L513	legacy id collided with different content	2026-09-14
L42	lessons	L514	legacy id collided with different content	2026-09-14
L43	lessons	L515	legacy id collided with different content	2026-09-14
L44	lessons	L516	legacy id collided with different content	2026-09-14
L45	lessons	L517	legacy id collided with different content	2026-09-14
L46	lessons	L518	legacy id collided with different content	2026-09-14
L47	lessons	L519	legacy id collided with different content	2026-09-14
L48	lessons	L520	legacy id collided with different content	2026-09-14
L49	lessons	L521	legacy id collided with different content	2026-09-14
L50	lessons	L522	legacy id collided with different content	2026-09-14
L34	lessons	L523	legacy id collided with different content	2026-09-14
L35	lessons	L524	legacy id collided with different content	2026-09-14
L51	lessons	L525	legacy id collided with different content	2026-09-14
L36	lessons	L526	legacy id collided with different content	2026-09-14
L37	lessons	L527	legacy id collided with different content	2026-09-14
L51	lessons	L528	legacy id collided with different content	2026-09-14
L52	lessons	L529	legacy id collided with different content	2026-09-14
L52	lessons	L530	legacy id collided with different content	2026-09-14
L53	lessons	L531	legacy id collided with different content	2026-09-14
L54	lessons	L532	legacy id collided with different content	2026-09-14
L55	lessons	L533	legacy id collided with different content	2026-09-14
L56	lessons	L534	legacy id collided with different content	2026-09-14
L57	lessons	L535	legacy id collided with different content	2026-09-14
L58	lessons	L536	legacy id collided with different content	2026-09-14
L103	lessons	L537	legacy id collided with different content	2026-09-14
L104	lessons	L538	legacy id collided with different content	2026-09-14
L59	lessons	L539	legacy id collided with different content	2026-09-14
L60	lessons	L540	legacy id collided with different content	2026-09-14
L114	lessons	L541	legacy id collided with different content	2026-09-14
L115	lessons	L542	legacy id collided with different content	2026-09-14
L116	lessons	L543	legacy id collided with different content	2026-09-14
L61	lessons	L544	legacy id collided with different content	2026-09-14
L105	lessons	L545	legacy id collided with different content	2026-09-14
L53	lessons	L546	legacy id collided with different content	2026-09-14
L117	lessons	L547	legacy id collided with different content	2026-09-14
L118	lessons	L548	legacy id collided with different content	2026-09-14
L134	lessons	L549	legacy id collided with different content	2026-09-14
L135	lessons	L550	legacy id collided with different content	2026-09-14
L136	lessons	L551	legacy id collided with different content	2026-09-14
L137	lessons	L552	legacy id collided with different content	2026-09-14
L138	lessons	L553	legacy id collided with different content	2026-09-14
L139	lessons	L554	legacy id collided with different content	2026-09-14
L140	lessons	L555	legacy id collided with different content	2026-09-14
L141	lessons	L556	legacy id collided with different content	2026-09-14
L142	lessons	L557	legacy id collided with different content	2026-09-14
L148	lessons	L558	legacy id collided with different content	2026-09-14
L158	lessons	L559	legacy id collided with different content	2026-09-14
L159	lessons	L560	legacy id collided with different content	2026-09-14
L160	lessons	L561	legacy id collided with different content	2026-09-14
L161	lessons	L562	legacy id collided with different content	2026-09-14
L162	lessons	L563	legacy id collided with different content	2026-09-14
L163	lessons	L564	legacy id collided with different content	2026-09-14
L164	lessons	L565	legacy id collided with different content	2026-09-14
L165	lessons	L566	legacy id collided with different content	2026-09-14
L166	lessons	L567	legacy id collided with different content	2026-09-14
L167	lessons	L568	legacy id collided with different content	2026-09-14
L168	lessons	L569	legacy id collided with different content	2026-09-14
L169	lessons	L570	legacy id collided with different content	2026-09-14
L170	lessons	L571	legacy id collided with different content	2026-09-14
L146	lessons	L572	legacy id collided with different content	2026-09-14
L147	lessons	L573	legacy id collided with different content	2026-09-14
L148	lessons	L574	legacy id collided with different content	2026-09-14
L169	lessons	L575	legacy id collided with different content	2026-09-14
L170	lessons	L576	legacy id collided with different content	2026-09-14
L171	lessons	L577	legacy id collided with different content	2026-09-14
L172	lessons	L578	legacy id collided with different content	2026-09-14
L173	lessons	L579	legacy id collided with different content	2026-09-14
L174	lessons	L580	legacy id collided with different content	2026-09-14
L175	lessons	L581	legacy id collided with different content	2026-09-14
L176	lessons	L582	legacy id collided with different content	2026-09-14
L177	lessons	L583	legacy id collided with different content	2026-09-14
L150	lessons	L584	legacy id collided with different content	2026-09-14
L151	lessons	L585	legacy id collided with different content	2026-09-14
L152	lessons	L586	legacy id collided with different content	2026-09-14
L171	lessons	L587	legacy id collided with different content	2026-09-14
L172	lessons	L588	legacy id collided with different content	2026-09-14
L173	lessons	L589	legacy id collided with different content	2026-09-14
L174	lessons	L590	legacy id collided with different content	2026-09-14
L175	lessons	L591	legacy id collided with different content	2026-09-14
L176	lessons	L592	legacy id collided with different content	2026-09-14
L177	lessons	L593	legacy id collided with different content	2026-09-14
L190	lessons	L594	legacy id collided with different content	2026-09-14
L191	lessons	L595	legacy id collided with different content	2026-09-14
L192	lessons	L596	legacy id collided with different content	2026-09-14
L178	lessons	L597	legacy id collided with different content	2026-09-14
L179	lessons	L598	legacy id collided with different content	2026-09-14
L193	lessons	L599	legacy id collided with different content	2026-09-14
L194	lessons	L600	legacy id collided with different content	2026-09-14
L195	lessons	L601	legacy id collided with different content	2026-09-14
L196	lessons	L602	legacy id collided with different content	2026-09-14
L197	lessons	L603	legacy id collided with different content	2026-09-14
L198	lessons	L604	legacy id collided with different content	2026-09-14
L199	lessons	L605	legacy id collided with different content	2026-09-14
L160	lessons	L606	legacy id collided with different content	2026-09-14
L161	lessons	L607	legacy id collided with different content	2026-09-14
L162	lessons	L608	legacy id collided with different content	2026-09-14
L182	lessons	L609	legacy id collided with different content	2026-09-14
L183	lessons	L610	legacy id collided with different content	2026-09-14
L217	lessons	L611	legacy id collided with different content	2026-09-14
L218	lessons	L612	legacy id collided with different content	2026-09-14
L219	lessons	L613	legacy id collided with different content	2026-09-14
L220	lessons	L614	legacy id collided with different content	2026-09-14
L221	lessons	L615	legacy id collided with different content	2026-09-14
L39	lessons	L616	legacy id collided with different content	2026-09-14
L40	lessons	L617	legacy id collided with different content	2026-09-14
L41	lessons	L618	legacy id collided with different content	2026-09-14
L42	lessons	L619	legacy id collided with different content	2026-09-14
L43	lessons	L620	legacy id collided with different content	2026-09-14
L44	lessons	L621	legacy id collided with different content	2026-09-14
L45	lessons	L622	legacy id collided with different content	2026-09-14
L46	lessons	L623	legacy id collided with different content	2026-09-14
L47	lessons	L624	legacy id collided with different content	2026-09-14
L48	lessons	L625	legacy id collided with different content	2026-09-14
L49	lessons	L626	legacy id collided with different content	2026-09-14
L50	lessons	L627	legacy id collided with different content	2026-09-14
L34	lessons	L628	legacy id collided with different content	2026-09-14
L35	lessons	L629	legacy id collided with different content	2026-09-14
L51	lessons	L630	legacy id collided with different content	2026-09-14
L36	lessons	L631	legacy id collided with different content	2026-09-14
L37	lessons	L632	legacy id collided with different content	2026-09-14
L51	lessons	L633	legacy id collided with different content	2026-09-14
L52	lessons	L634	legacy id collided with different content	2026-09-14
L52	lessons	L635	legacy id collided with different content	2026-09-14
L53	lessons	L636	legacy id collided with different content	2026-09-14
L54	lessons	L637	legacy id collided with different content	2026-09-14
L55	lessons	L638	legacy id collided with different content	2026-09-14
L56	lessons	L639	legacy id collided with different content	2026-09-14
L57	lessons	L640	legacy id collided with different content	2026-09-14
L58	lessons	L641	legacy id collided with different content	2026-09-14
L103	lessons	L642	legacy id collided with different content	2026-09-14
L104	lessons	L643	legacy id collided with different content	2026-09-14
L59	lessons	L644	legacy id collided with different content	2026-09-14
L60	lessons	L645	legacy id collided with different content	2026-09-14
L114	lessons	L646	legacy id collided with different content	2026-09-14
L115	lessons	L647	legacy id collided with different content	2026-09-14
L116	lessons	L648	legacy id collided with different content	2026-09-14
